2151746432 = ge_fighter, Starflier (Civilian Ultra-Light Fighter)
2528869196 = slave1_package, Slave Heavy Fighter (TNG 1.7 MOD)
2933103116 = shadow_package, Shadow Crab (TNG 1.7 MOD)
2551072898 = bwing_package, B-Wing Bomber Heavy Fighter (TNG 1.7 MOD)
2835910537 = rsshadowcruiser_package, Shadow Cruiser (TNG 1.7 MOD)
3042305475 = white_star_package, Whitestar (TNG 1.7 MOD)
3000559432 = brakiri_package, Brakiri Battleship (TNG 1.7 MOD)
3177067330 = vorlonpk_package, Vorlon Planet Killer (TNG 1.7 MOD)
2643144898 = rsviper_package, Viper Light Fighter (TNG 1.7 MOD)
2511907588 = rsnail_package, Nail Medium Fighter (TNG 1.7 MOD)
2598812367 = x_shuttle_package, Independence (TNG 1.7 MOD)
2502995214 = profit_package, Profiteer (TNG 1.7 MOD)
2524451014 = z95_package, Z-95 Headhunter Medium Fighter (TNG 1.7 MOD)
2416958339 = k_hawk_package, Hawk Medium Fighter (TNG 1.7 MOD)
2592113158 = moldy_crow_package, Justice Heavy Fighter (Moldy Crow, TNG 1.7 MOD)
3027029189 = gallofree_package, Gallofree Light Trader (TNG 1.7 MOD)
2152579782 = sefight_package, Shadow Fighter Light Fighter (TNG 1.7 MOD)
2248618886 = sehybrid_package, Shadow Hybrid Medium Fighter (TNG 1.7 MOD)
2347320132 = sescout_package, Shadow Scout Heavy Fighter (TNG 1.7 MOD)
2732540224 = cobramk3_package, Cobra Medium Fighter (TNG 1.7 MOD)
2426563461 = k_garg_package, Gargoyle Heavy Fighter (TNG 1.7 MOD)
2384088077 = Hornet_package, Hornet Heavy Fighter (TNG 1.7 MOD)
2868342348 = Cougar_package, Cougar Light Fighter (TNG 1.7 MOD)
